Chris Rock;Lethal Weapon 4; true
Chris Sanders;Lilo & Stitch; true
Chris Tucker;Rush Hour 3; true
Chris Tucker;Rush Hour 2; true
Christian Bale;The Dark Knight Rises; true
Christian Bale;The Fighter; true
Christian Bale;Batman Begins; true
Christian Bale;The Dark Knight; true
Christian Slater;Robin Hood: Prince of Thieves; true
Christina Jastrzembska;New Moon; true
Christina Ricci;Monster; true
Christine Anu;Matrix Reloaded, The; true
Christine Baranski;How the Grinch Stole Christmas; true
Christoph Waltz;Inglourious Basterds; true
Christopher Carley;Gran Torino; true
Christopher Eccleston;G.I. Joe: The Rise of Cobra; true
Christopher Evan Welch;Vicky Cristina Barcelona; true
Christopher Jones;Ryans Daughter; true
Christopher Lee;Star Wars: Episode II - Attack of the Clones; true
Christopher Lloyd;Who Framed Roger Rabbit; true
Christopher Lloyd;Back to the Future; true
Christopher Plummer;Beautiful Mind, A; true
Christopher Plummer;Syriana; true
Christopher Plummer;Beginners; true
Christopher Plummer;Sound of Music, The; true
Christopher Plummer;Up; true
Christopher Reeve;Superman; true
Christopher Walken;Click; true
Christopher Walken;Batman Returns; true
Christopher Walken;Wedding Crashers; true
Christopher Walken;Deer Hunter, The; true
Christopher Walken;Catch Me If You Can; true
Chuck Pfeiffer;Wall Street; true
Claire Bloom;Charly; true
Claire Danes;Terminator 3: Rise of the Machines; true
Claire Trevor;Stagecoach; true
Claire Trevor;Key Largo; true
Clara Bow;Wings; true
Clark Gable;Mutiny on the Bounty; true
Clark Gable;It Happened One Night; true
Clark Gable;Free Soul, A; true
Claude Rains;Casablanca; true
Claudette Colbert;It Happened One Night; true
Claudia Gerini;Passion of the Christ, The; true
Clea DuVall;Girl, Interrupted; true
Cliff Edwards;Sin of Madelon Claudet, The; true
Cliff Osmond;Fortune Cookie, The; true
Cliff Robertson;Charly; true
Cliff Robertson;Spider-Man; true
Clifton Powell;Ray; true
Clifton Webb;Razors Edge, The; true
Clint Eastwood;Gran Torino; true
Clint Eastwood;Unforgiven; true
Clint Eastwood;Million Dollar Baby; true
Clive Brook;Cavalcade; true
Cloris Leachman;Last Picture Show, The; true
Cole Sprouse;Big Daddy; true
Colin Farrell;Minority Report; true
Colin Firth;The Kings Speech; true
Colin Firth;Mamma Mia!; true
Colin Hanks;King Kong; true
Connie Nielsen;Gladiator; true
Conrad Veidt;Casablanca; true
Corinne Griffith;Divine Lady, The; true
Cornel Wilde;Greatest Show on Earth, The; true
Craig Archibald;Capote; true
Craig Ferguson;How to Train Your Dragon; true
Craig T. Nelson;The Incredibles; true
Craig T. Nelson;The Proposal; true
Craig T. Nelson;Killing Fields, The; true
Crispin Glover;Back to the Future; true
Crispin Glover;Alice in Wonderland; true
Cuba Gooding Jr.;Jerry Maguire; true
Cuba Gooding Jr.;As Good As It Gets; true
Cuba Gooding Jr.;Pearl Harbor; true
Cybill Shepherd;Last Picture Show, The; true
Cynthia Nixon;Sex and the City; true
D.B. Sweeney;Dinosaur; true
Dabney Coleman;On Golden Pond; true
Dabney Coleman;Tootsie; true
Dakota Fanning;War of the Worlds; true
Dallas Roberts;Walk the Line; true
Dame May Whitty;Mrs. Miniver; true
Dame May Whitty;Gaslight; true
Dame May Whitty;Suspicion; true
Dan Aykroyd;Ghostbusters; true
Dan Aykroyd;Driving Miss Daisy; true
Dan Castellaneta;The Simpsons Movie; true
Dana Andrews;Best Years of Our Lives, The; true
Daniel Craig;Quantum of Solace; true
Daniel Craig;Casino Royale; true
Daniel Craig;Lara Croft: Tomb Raider; true
Daniel Day-Lewis;There Will Be Blood; true
Daniel Day-Lewis;My Left Foot; true
Daniel Gerroll;Chariots of Fire; true
Daniel London;Patch Adams; true
Daniel Radcliffe;Harry Potter and the Half-Blood Prince; true
Daniel Radcliffe;Harry Potter and the Sorcerers Stone; true
Daniel Radcliffe;Harry Potter and the Prisoner of Azkaban; true
Daniel Radcliffe;Harry Potter and the Goblet of Fire; true
Daniel Radcliffe;Harry Potter and the Deathly Hallows: Part 1; true
Daniel Radcliffe;Harry Potter and the Order of the Phoenix; true
Daniel Radcliffe;Harry Potter and the Chamber of Secrets; true
Daniel Radcliffe;Harry Potter and the Deathly Hallows: Part 2; true
Daniel Stern;Home Alone 2: Lost in New York; true
Daniel Stern;Home Alone; true
Daniel Stern;City Slickers; true
Daniele Harford;The Constant Gardener; true
Danielle Skraastad;Michael Clayton; true
Danny Aiello;Moonstruck; true
Danny DeVito;The Lorax; true
Danny DeVito;Terms of Endearment; true
Danny DeVito;Batman Returns; true
Danny Glover;Lethal Weapon 2; true
Danny Glover;Lethal Weapon 4; true
Danny Glover;Dreamgirls; true
Danny Glover;Lethal Weapon 3; true
Danny Huston;X-Men Origins: Wolverine; true
Danny Huston;The Constant Gardener; true
Dash Mihok;The Day After Tomorrow; true
Dato Bakhtadze;Crash; true
Dave Foley;A Bugs Life; true
Dave Sheridan;Scary Movie; true
Daveigh Chase;Lilo & Stitch; true
David Allen Brooks;Cast Away; true
David Andrews;Terminator 3: Rise of the Machines; true
David Aston;Lord of the Rings: The Return of the King, The; true
David Brisbin;Erin Brockovich; true
David Butler;Seventh Heaven; true
David Cross;Alvin and the Chipmunks; true
David Cross;Alvin and the Chipmunks: The Squeakquel; true
David Forman;Teenage Mutant Ninja Turtles; true
David Gulpilil;Crocodile Dundee; true
David Hasselhoff;Click; true
David Keith;Officer and a Gentleman, An; true
David Kelly;Charlie and the Chocolate Factory; true
David Kross;The Reader; true
David Krumholtz;Santa Clause, The; true
David Krumholtz;Santa Clause 2, The; true
David Morse;Rock, The; true
David Morse;Green Mile, The; true
David Niven;Around the World in Eighty Days; true
David Niven;Separate Tables; true
David Ogden Stiers;Lilo & Stitch; true
David Ogden Stiers;Beauty and the Beast; true
David Ogden Stiers;Pocahontas; true
David Ogden Stiers;Accidental Tourist, The; true
David Schwimmer;Madagascar; true
David Schwimmer;Madagascar: Escape 2 Africa; true
David Schwimmer;Madagascar 3: Europes Most Wanted; true
David Spade;Grown Ups; true
David Strathairn;The Bourne Ultimatum; true
David Tennant;Harry Potter and the Goblet of Fire; true
David Tomlinson;Mary Poppins; true
David Trimble;Brokeback Mountain; true
David Warshofsky;Taken; true
David Wayne;Three Faces of Eve, The; true
David Wenham;300; true
Dawn Didawick;Erin Brockovich; true
Dean Jagger;Twelve OClock High; true
Dean Jagger;Elmer Gantry; true
Dean Martin;Airport; true
Deborah Kerr;King and I, The; true
Deborah Kerr;Separate Tables; true
Deborah Kerr;From Here to Eternity; true
Debra Winger;Officer and a Gentleman, An; true
Debra Winger;Terms of Endearment; true
Declan Croghan;My Left Foot; true
Dee Wallace-Stone;E.T. the Extra-Terrestrial; true
Delroy Lindo;Ransom; true
Delroy Lindo;Up; true
Delroy Lindo;Cider House Rules, The; true
Demi Moore;Ghost; true
Demi Moore;Few Good Men, A; true
Denholm Elliott;Indiana Jones and the Last Crusade; true
Denis Leary;Ice Age; true
Denis Leary;Ice Age: The Meltdown; true
Denis Leary;The Amazing Spider-Man; true
Dennis Morgan;Kitty Foyle: The Natural History of a Woman; true
Dennis Quaid;The Day After Tomorrow; true
Denzel Washington;Philadelphia; true
Denzel Washington;Training Day; true
Denzel Washington;Glory; true
Derek Jacobi;The Kings Speech; true
Derrick OConnor;Lethal Weapon 2; true
Dev Patel;Slumdog Millionaire; true
Diana Scarwid;What Lies Beneath; true
Diana Wynyard;Cavalcade; true
Diane Keaton;Reds; true
Diane Keaton;Annie Hall; true
Diane Keaton;Godfather: Part II, The; true
Diane Kruger;National Treasure: Book of Secrets; true
Diane Kruger;National Treasure; true
Diane Lane;Perfect Storm, The; true
Dianne Wiest;Hannah and Her Sisters; true
Dianne Wiest;Bullets Over Broadway; true
Dick Powell;Bad and the Beautiful, The; true
Dick Van Dyke;Mary Poppins; true
Dick Van Dyke;Night at the Museum; true
Diego Luna;Milk; true
Dina Merrill;BUtterfield 8; true
Dirk Bogarde;Darling; true
Domingo Landicho;Year of Living Dangerously, The; true
Dominic West;300; true
Dominique Louis;The Incredibles; true
Don Ameche;Cocoon; true
Don Ameche;In Old Chicago; true
Don Cheadle;Iron Man 2; true
Don Cheadle;Crash; true
Don Dillaway;Min and Bill; true
Don Knotts;Chicken Little; true
Don Rickles;Toy Story 3; true
Don Rickles;Toy Story 2; true
Don Rickles;Toy Story; true
Don Saxon;Subject Was Roses, The; true
Don Taylor;Stalag 17; true
Donald Crisp;National Velvet; true
Donald Crisp;How Green Was My Valley; true
Donald Crisp;Jezebel; true
Donald Crisp;Life of Emile Zola, The; true
Donald Houston;Room at the Top; true
Donald Sutherland;Klute; true
Donald Sutherland;Ordinary People; true
Donald Wolfit;Room at the Top; true
Donald Woods;Anthony Adverse; true
Donald Woods;Story of Louis Pasteur, The; true
Donna Murphy;Tangled; true
Donna Reed;From Here to Eternity; true
Doris Davenport;Westerner, The; true
Doris Dowling;Lost Weekend, The; true
Dorothy Burgess;In Old Arizona; true
Dorothy Jordan;Min and Bill; true
Dorothy Lamour;Greatest Show on Earth, The; true
Dorothy Malone;Written on the Wind; true
Dorothy McGuire;Tree Grows in Brooklyn, A; true
Dorothy McGuire;Gentlemans Agreement; true
Dorothy Tristan;Klute; true
Dorris Bowdon;Grapes of Wrath, The; true
Doug McKeon;On Golden Pond; true
Douglas Fairbanks Jr.;Morning Glory; true
Douglass Dumbrille;Mr. Deeds Goes to Town; true
Douglass Dumbrille;Kentucky; true
Dougray Scott;Mission: Impossible II; true
Drew Barrymore;E.T. the Extra-Terrestrial; true
Dudley Moore;Arthur; true
Dustin Hoffman;Kramer vs. Kramer; true
Dustin Hoffman;Kung Fu Panda; true
Dustin Hoffman;Rain Man; true
Dustin Hoffman;Midnight Cowboy; true
Dustin Hoffman;Tootsie; true
Dustin Hoffman;Meet the Fockers; true
Dustin Hoffman;Kung Fu Panda 2; true
Dustin Hoffman;All the Presidents Men; true
Dustin Hoffman;Graduate, The; true
Dwayne Hickman;Cat Ballou; true
Dylan Sprouse;Big Daddy; true
Ed Begley;Sweet Bird of Youth; true
Ed Harris;Rock, The; true
Ed Harris;Apollo 13; true
Ed Harris;Beautiful Mind, A; true
Ed Harris;Pollock; true
Ed Harris;Places in the Heart; true
Ed Helms;The Lorax; true
Ed Helms;The Hangover; true
